id,created_at,updated_at,user,name,phone,email,courier,shippingMethod,shippingCost,totalProduct,totalPrice,transactionId
16,2023-11-03 07:18:32,2023-11-03 07:18:32,16,edi kurniawan wibowo,+1-899-920-2916x894,edi_kurniawan_wibowo@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,3038000,trs-a2d72aa3-1b82-4c55-a801-14c0077aeea0
17,2023-11-03 07:18:32,2023-11-03 07:18:32,17,fadil rahmat andini,984.683.3434,fadil_rahmat_andini@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,302000,trs-99fe2fc9-1bec-4941-b966-c636e5bc8c39
18,2023-11-03 07:18:32,2023-11-03 07:18:32,18,fahmi iqbal firmananda,001-613-668-3116x142,fahmi_iqbal_firmananda@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,230000,trs-adc18cdf-a92d-4418-8e62-2d032dde27ed
19,2023-11-03 07:18:32,2023-11-03 07:18:32,19,fairuzi,(370)746-8205x10115,fairuzi@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,258000,trs-c105f050-8e43-47b2-ac5d-bb99f240edbc
20,2023-11-03 07:18:32,2023-11-03 07:18:32,20,gustian,520.936.8297x282,gustian@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,314000,trs-5b85c6dd-77b4-45d8-9823-5172b585656d
21,2023-11-03 07:18:32,2023-11-03 07:18:32,21,habil sabilla do'a,001-537-235-5840,habil_sabilla_do'a@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,109000,trs-2c746c78-6ad9-4be2-a486-87c8d39c6b4e
22,2023-11-03 07:18:32,2023-11-03 07:18:32,22,hermawan syah,001-951-994-9811x35448,hermawan_syah@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,44010,trs-72a418fa-1414-4268-9a78-8f5405448fe9
23,2023-11-03 07:18:32,2023-11-03 07:18:32,23,ibnuyohanzah ahmad,(279)595-1375,ibnuyohanzah_ahmad@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,51900,trs-ff95cccc-a77c-4ced-9c00-5af4ad38aeec
24,2023-11-03 07:18:32,2023-11-03 07:18:32,24,lia pertiwi,(465)466-0446x888,lia_pertiwi@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,134500,trs-49492f1b-6879-4d9b-a15b-b4c7a8ab8291
25,2023-11-03 07:18:31,2023-11-03 07:18:31,25,muhammad maksum sugondo,477.702.8173,muhammad_maksum_sugondo@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,52900,trs-b7f90159-77db-4bff-bf35-58c877db1ac8
26,2023-11-03 07:18:31,2023-11-03 07:18:31,26,muhammad risfandanu,(537)244-3332,muhammad_risfandanu@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,891700,trs-23a6be64-8f49-4a96-a2d7-091bc760f2e9
27,2023-11-03 07:18:31,2023-11-03 07:18:31,27,adnil riza,598.718.3778,adnil_riza@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,706000,trs-d444097e-1932-44dc-b21c-98600ef66736
28,2023-11-03 07:18:31,2023-11-03 07:18:31,28,nadia gustiana,001-431-298-5154x034,nadia_gustiana@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,105100,trs-30632bcd-51ee-4698-9f22-5c01074328a1
29,2023-11-03 07:18:31,2023-11-03 07:18:31,29,nanda aditya,887-516-2989x785,nanda_aditya@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,237900,trs-fe2e6b70-64b4-4792-b9d8-00faaca8da18
30,2023-11-03 07:18:31,2023-11-03 07:18:31,30,nurgivo alfajri,+1-648-333-9025x68917,nurgivo_alfajri@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,1869300,trs-0de9b6da-554b-4963-b0c3-42bca604e3c4
31,2023-11-03 07:18:31,2023-11-03 07:18:31,31,pita irul sayekti,600-357-1350x3000,pita_irul_sayekti@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,2808000,trs-a2202eac-b1af-4463-98cd-0a3676ede5cf
32,2023-11-03 07:18:31,2023-11-03 07:18:31,32,rahmadi gusri,891.360.9143x939,rahmadi_gusri@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,266000,trs-324d18a9-f327-4ec7-ac69-0d88765b8445
33,2023-11-03 07:18:31,2023-11-03 07:18:31,33,rahmat,572-240-2215,rahmat@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,3829000,trs-bc2eeacd-5d71-4520-96ec-05a9bce94573
34,2023-11-03 07:18:31,2023-11-03 07:18:31,34,sadra wilis,(413)604-0979,sadra_wilis@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,1062802,trs-d1fbc233-7e07-45d8-bfd4-ba9321ea3584
35,2023-11-03 07:18:31,2023-11-03 07:18:31,35,said rio apriadi,675.565.6968x8959,said_rio_apriadi@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,1616000,trs-589f6d8b-e52c-477c-9b51-ba4e1f83ca43
36,2023-11-03 07:18:31,2023-11-03 07:18:31,36,tania rahmadhini,325.902.5875x24517,tania_rahmadhini@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,118000,trs-eefe69c6-2f93-4a43-9d3b-6020ee5ea3f1
37,2023-11-03 07:18:31,2023-11-03 07:18:31,37,tarikhul mahfudz,755.435.5197x63044,tarikhul_mahfudz@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,138000,trs-987428e5-430c-474c-a5fe-e5b770a06dc1
38,2023-11-03 07:18:31,2023-11-03 07:18:31,38,vido idramedi,8975163553,vido_idramedi@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,152000,trs-00ad7026-ebb3-4c96-bf4b-e6923cbf2438
39,2023-11-03 07:18:31,2023-11-03 07:18:31,39,wahyu darmawan,(297)608-5555,wahyu_darmawan@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,25000,trs-bf9dba39-8c89-42e4-83f3-2d196b226df3
40,2023-11-03 07:18:31,2023-11-03 07:18:31,40,yana famana,+1-792-557-8865,yana_famana@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,248000,trs-5e28775c-fe7e-4c30-8f60-211143f0d8c1
41,2023-11-03 07:18:31,2023-11-03 07:18:31,41,yusrika dewi,515.367.1533,yusrika_dewi@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,146000,trs-7c27a381-903b-4da8-8a8a-aa576a1cfffb
42,2023-11-03 07:18:31,2023-11-03 07:18:31,42,zakiah nurviani,709.227.2625x65075,zakiah_nurviani@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,165000,trs-bbf4c616-6f78-4b96-a100-b02a8c95d590
43,2023-11-03 07:18:31,2023-11-03 07:18:31,43,aditya dwi nugraha,764-369-9727x31232,aditya_dwi_nugraha@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,268000,trs-b1ef08df-e995-453c-aaa0-1aa44ba57ab6
44,2023-11-03 07:18:31,2023-11-03 07:18:31,44,afrian djugi,+1-923-779-0789x76951,afrian_djugi@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,166000,trs-55f6f275-a0b7-446e-add1-281f76ff5a4c
45,2023-11-03 07:18:31,2023-11-03 07:18:31,45,debby jayadi nugroho,460.528.5749x003,debby_jayadi_nugroho@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,159000,trs-019fba07-640e-422b-9280-db5a57fcdd51
46,2023-11-03 07:18:31,2023-11-03 07:18:31,46,dede dwi arviyanti,241-206-6954x774,dede_dwi_arviyanti@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,32900,trs-a1f3a0e1-ece5-4791-984a-cb85cba57e88
47,2023-11-03 07:18:30,2023-11-03 07:18:30,47,della maulina herianda,825-462-2125x842,della_maulina_herianda@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,106900,trs-e89ed62c-fa46-4b5d-91b8-9e34ed6e06dd
48,2023-11-03 07:18:30,2023-11-03 07:18:30,48,deny gustriansyah,001-699-988-6527x6264,deny_gustriansyah@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,161900,trs-ccc38126-550d-4ee5-a14f-f27ab7851acb
49,2023-11-03 07:18:30,2023-11-03 07:18:30,49,desi fitri,+1-409-966-7627x827,desi_fitri@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,152900,trs-309df2f2-a6c4-4bc9-bf74-c41a9f9c2e52
50,2023-11-03 07:18:30,2023-11-03 07:18:30,50,edmund andriano,2118057810,edmund_andriano@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,62900,trs-11e103ee-e688-4075-a397-64b7a6d828d3
51,2023-11-03 07:18:30,2023-11-03 07:18:30,51,fajar aulia rahman,217.638.0050,fajar_aulia_rahman@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,48500,trs-99d2ff3a-48be-4440-965c-67a00fccbfc8
52,2023-11-03 07:18:30,2023-11-03 07:18:30,52,fathiya hasyifah sibarani,688.279.7792x860,fathiya_hasyifah_sibarani@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,559500,trs-939ad3e1-7aaf-4ba4-b236-5594c2ff939e
53,2023-11-03 07:18:30,2023-11-03 07:18:30,53,fauzar,+1-354-301-1865,fauzar@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,558500,trs-3c40518e-2307-4aaa-8ef2-69522579673f
54,2023-11-03 07:18:30,2023-11-03 07:18:30,54,habzer maisera,753-580-3712x6751,habzer_maisera@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,134500,trs-76711db8-7bb6-4393-90e2-f2d98937b9b0
55,2023-11-03 07:18:30,2023-11-03 07:18:30,55,herzavina,257-310-6613,herzavina@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,196000,trs-8dffd55a-c81f-4ebf-8e85-0bd7849cfe1e
56,2023-11-03 07:18:30,2023-11-03 07:18:30,56,ikbal gazalba,+1-929-868-4766x97341,ikbal_gazalba@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,3037000,trs-c03bf8ba-3912-411d-80a3-25a86c2cc9cc
57,2023-11-03 07:18:30,2023-11-03 07:18:30,57,ikhsan firdaus,(553)313-1026,ikhsan_firdaus@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,295000,trs-eb129f99-c137-4e3e-875c-11d4332b34cb
58,2023-11-03 07:18:30,2023-11-03 07:18:30,58,ilda ikhwana lubis,773.567.9299x79921,ilda_ikhwana_lubis@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,238000,trs-c24acab4-7305-41dd-8096-f8e6b9d0a774
59,2023-11-03 07:18:30,2023-11-03 07:18:30,59,jayus suryawan,(318)772-7935x4510,jayus_suryawan@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,257000,trs-cb8227af-0d4a-4cfb-bdf1-c6d436cdc329
60,2023-11-03 07:18:30,2023-11-03 07:18:30,60,muhammad bagoes samaron,601.890.3725,muhammad_bagoes_samaron@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,307000,trs-7c6d7ef5-dc9c-4dd4-9e41-896897b8a25c
61,2023-11-03 07:18:30,2023-11-03 07:18:30,61,muhammad hanafi,(360)248-7259x931,muhammad_hanafi@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,117000,trs-0fb57bde-726e-490f-bd49-317a8d26c9be
62,2023-11-03 07:18:30,2023-11-03 07:18:30,62,muhammad ilham akbar khoiri,4486474405,muhammad_ilham_akbar_khoiri@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,43010,trs-72546543-8af2-454f-bedb-a999b7ad6a5c
63,2023-11-03 07:18:30,2023-11-03 07:18:30,63,narendra benny,312-872-8186,narendra_benny@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,44900,trs-f0206649-e298-43ba-b990-d81a709739b0
64,2023-11-03 07:18:30,2023-11-03 07:18:30,64,naufal abiyyu,910-255-2637x63585,naufal_abiyyu@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,142500,trs-9337c34a-6482-44d8-b6c1-263190dea8c9
65,2023-11-03 07:18:30,2023-11-03 07:18:30,65,nurhikmah,+1-558-287-2384x316,nurhikmah@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,51900,trs-90414a8f-8d1d-41ae-9317-ab4cd8e313a6
66,2023-11-03 07:18:30,2023-11-03 07:18:30,66,fadana bagus harsono,7107664073,fadana_bagus_harsono@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,884700,trs-8fd868cb-600e-41c0-a8c1-d0d1916c10f7
67,2023-11-03 07:18:30,2023-11-03 07:18:30,67,rahmi omya ulta,001-383-915-2496x4984,rahmi_omya_ulta@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,714000,trs-4086f60c-1a3e-44eb-a132-ef051c4e16e4
68,2023-11-03 07:18:30,2023-11-03 07:18:30,68,rahmi septhianingrum,+1-904-706-1281x0308,rahmi_septhianingrum@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,104100,trs-67a99d88-c398-427b-95b1-5a545497fc14
69,2023-11-03 07:18:29,2023-11-03 07:18:29,69,rangga arief putra,+1-324-405-1276,rangga_arief_putra@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,230900,trs-b2203640-b5d7-4215-88a7-ee38387dacdf
70,2023-11-03 07:18:29,2023-11-03 07:18:29,70,rangga dwi nugrawan,986-954-4363,rangga_dwi_nugrawan@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,1877300,trs-152bf563-c554-4bfa-9812-fec0b2609f02
71,2023-11-03 07:18:29,2023-11-03 07:18:29,71,saiful wahyudi,343-686-5911x2547,saiful_wahyudi@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,2807000,trs-6a2ad2e4-c226-43b3-8c60-a50e2c821c8e
72,2023-11-03 07:18:29,2023-11-03 07:18:29,72,sari devia agustina,348.857.2859x142,sari_devia_agustina@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,259000,trs-77e6f04f-7218-4e77-a259-4be1aa79a114
73,2023-11-03 07:18:29,2023-11-03 07:18:29,73,taufik oktafiyardi,210.307.3187,taufik_oktafiyardi@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,3837000,trs-2d2d695b-1486-4690-9920-76c119c35623
74,2023-11-03 07:18:29,2023-11-03 07:18:29,74,teddy franwijaya,867.786.6031,teddy_franwijaya@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,1061802,trs-d7e451b3-88ff-4f38-b028-691af1748d46
75,2023-11-03 07:18:29,2023-11-03 07:18:29,75,vigo farlandi,2849915645,vigo_farlandi@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,1609000,trs-9ec651d4-f2c0-445a-b1fa-b28c75242200
76,2023-11-03 07:18:29,2023-11-03 07:18:29,76,wahyu ernu setiawan,925.373.3361x14161,wahyu_ernu_setiawan@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,126000,trs-4c802340-9f0e-491c-814c-2a281f473e26
77,2023-11-03 07:18:29,2023-11-03 07:18:29,77,yofaldi laksmana putra,210.302.1819,yofaldi_laksmana_putra@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,137000,trs-91669476-1891-4158-ad52-11f24c40beda
78,2023-11-03 07:18:29,2023-11-03 07:18:29,78,zubaidah,(973)330-5836x8290,zubaidah@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,145000,trs-80fbed21-f2bd-4dcd-ab88-c9396479504d
79,2023-11-03 07:18:29,2023-11-03 07:18:29,79,agus faturrahman,971-925-9650,agus_faturrahman@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,33000,trs-3b2a774b-025e-4020-9b74-58bdfaaad5bb
80,2023-11-03 07:18:29,2023-11-03 07:18:29,80,agustiando rahmat,608.300.4183x20865,agustiando_rahmat@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,247000,trs-0405b6ee-4314-4b6f-8223-db3a14eb3db0
81,2023-11-03 07:18:28,2023-11-03 07:18:28,81,aidil badri,700.850.3583,aidil_badri@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,139000,trs-5796f7d2-c624-4bda-8eb6-77778ebdc415
82,2023-11-03 07:18:28,2023-11-03 07:18:28,82,alfajri,001-548-309-0789x4515,alfajri@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,173000,trs-e64892ca-9908-4ed3-8106-a01ecbc5fc97
83,2023-11-03 07:18:28,2023-11-03 07:18:28,83,bayu hasan basyir aljawi,001-867-720-1820x6118,bayu_hasan_basyir_aljawi@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,267000,trs-894faee7-85c9-434e-bd1c-42e3991fb70a
84,2023-11-03 07:18:28,2023-11-03 07:18:28,84,desi fransiska,+1-871-478-9385,desi_fransiska@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,159000,trs-764f4967-fc38-45ad-8d1b-675c40fbb0bb
85,2023-11-03 07:18:28,2023-11-03 07:18:28,85,desnando,605-711-7439,desnando@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,167000,trs-0078ae87-3c5a-4091-9585-3e6684073534
86,2023-11-03 07:18:28,2023-11-03 07:18:28,86,desri ardika,216.751.7405,desri_ardika@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,31900,trs-9248735f-6cf4-475d-b09d-27a42b7459ce
87,2023-11-03 07:18:28,2023-11-03 07:18:28,87,dessy masdianata p,799-954-2597x958,dessy_masdianata_p@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,99900,trs-36e95270-0258-43c8-8183-b55107d56556
88,2023-11-03 07:18:28,2023-11-03 07:18:28,88,destria membrane,746.721.4522x439,destria_membrane@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,169900,trs-247dde3f-b1f3-4a42-a100-e3f224a74b6b
89,2023-11-03 07:18:28,2023-11-03 07:18:28,89,eka nur safitri,+1-729-857-2732,eka_nur_safitri@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,151900,trs-15296b8e-ae61-4583-9017-25b15f40f2b5
90,2023-11-03 07:18:28,2023-11-03 07:18:28,90,fauziah,+1-822-645-9751,fauziah@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,55900,trs-d185bc41-3791-4a1e-b768-7d2b3fa2dade
91,2023-11-03 07:18:28,2023-11-03 07:18:28,91,feny afrisilia,566-770-5332x982,feny_afrisilia@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,56500,trs-ee4c6cf6-6e33-48e9-a805-feb6e3774c48
92,2023-11-03 07:18:28,2023-11-03 07:18:28,92,hesty afriani srg,339.231.5984x2508,hesty_afriani_srg@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,558500,trs-5ce8837e-d9db-4572-b537-b6196065acc3
93,2023-11-03 07:18:28,2023-11-03 07:18:28,93,ilham afandi aziz,(274)788-1651x212,ilham_afandi_aziz@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,551500,trs-b88c7f9a-6d8b-4b5b-98c1-6faa840cac7e
94,2023-11-03 07:18:28,2023-11-03 07:18:28,94,ilham fajri,(841)267-0999,ilham_fajri@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,142500,trs-b8443eb4-3e1d-4838-840b-1731b641cb35
95,2023-11-03 07:18:28,2023-11-03 07:18:28,95,indah permata sari,360.470.4639x6586,indah_permata_sari@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,195000,trs-ee8f49e1-bcda-4318-9c51-268dcf1c1fdc
96,2023-11-03 07:18:28,2023-11-03 07:18:28,96,jukhri syahputra,(973)523-0827x492,jukhri_syahputra@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,3030000,trs-35a0f56a-1b7f-4f7a-9ff4-c7e0cee43e88
97,2023-11-03 07:18:28,2023-11-03 07:18:28,97,m. muawam,(628)429-4706x9370,m._muawam@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,303000,trs-a1b81745-e3c6-4d4c-8c21-0852e493d3a2
98,2023-11-03 07:18:28,2023-11-03 07:18:28,98,m. yassir saputra jamina,763-450-3529x5299,m._yassir_saputra_jamina@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,237000,trs-b6dbe2dd-8010-4492-8e48-115bb188a300
99,2023-11-03 07:18:28,2023-11-03 07:18:28,99,mardiyyat fadliellah,+1-620-411-3883x809,mardiyyat_fadliellah@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,250000,trs-a0a07cdc-75c4-4b9d-9f01-885cba009b53
100,2023-11-03 07:18:28,2023-11-03 07:18:28,100,mukhtar lutfi,738-681-5380x8512,mukhtar_lutfi@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,315000,trs-2a203aab-d8ab-4942-a547-ca340f2e505c
101,2023-11-03 07:18:28,2023-11-03 07:18:28,101,nazarudin yusuf,+1-757-373-5616,nazarudin_yusuf@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,116000,trs-9d086214-98ac-4d4f-abf9-9fa3a0c88896
102,2023-11-03 07:18:28,2023-11-03 07:18:28,102,neni anggraeni dalimunthe,+1-735-546-5864x60413,neni_anggraeni_dalimunthe@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,36010,trs-f1edad51-6c47-4bdc-970f-33694e3358ac
103,2023-11-03 07:18:27,2023-11-03 07:18:27,103,nurpauliani dewi n,001-895-236-4880x297,nurpauliani_dewi_n@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,52900,trs-5b46abb8-6b8f-47aa-b562-9bfb71b8fdb6
104,2023-11-03 07:18:27,2023-11-03 07:18:27,104,rano abdul rahman,598-464-3019x362,rano_abdul_rahman@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,141500,trs-732a5c99-6de1-4b8b-941c-3936f36cf7c0
105,2023-11-03 07:18:27,2023-11-03 07:18:27,105,ratih purwasih,(856)251-5160x220,ratih_purwasih@gmail.com,JNE,CTC Rp.10000 Estimasi 1-2,10000,1,44900,trs-aeffd2a7-dc56-40e8-bdad-1401cda4556c
106,2023-11-03 07:18:27,2023-11-03 07:18:27,106,raynaldi setiawan,560-330-4160x117,raynaldi_setiawan@gmail.com,TIKI,ONS Rp.18000 Estimasi 1,18000,1,892700,trs-3dcfd0db-22d3-46a2-a5ef-e7aae433f536
107,2023-11-03 07:18:27,2023-11-03 07:18:27,107,shynta dwi afitri,(208)487-3663x479,shynta_dwi_afitri@gmail.com,POS INDONESIA,Pos Sameday Rp.17000 0 HARI,17000,1,713000,trs-caa8e4e4-24b9-4eed-a6e1-325e3c0aad9e
